trading_date,delivery_date,open,close
2017-12-14,2018-01-01,20.4,21.125
2017-12-15,2018-01-01,20.73,20.9
2017-12-18,2018-01-01,20.5,20.35
2017-12-19,2018-01-01,20.15,19.95
2017-12-20,2018-01-01,20.2,20.35
2017-12-21,2018-01-01,20.025,19.975
2017-12-22,2018-01-01,19.85,19.6
2017-12-27,2018-01-01,19.3,19.23
2017-12-28,2018-01-01,19.3,19.7
2017-12-29,2018-02-01,19.675,19.7
2018-01-02,2018-02-01,19.5,19.275
2018-01-03,2018-02-01,19.25,19.4
2018-01-04,2018-02-01,19.4,19.195
2018-01-05,2018-02-01,19.025,18.87
2018-01-08,2018-02-01,19.025,19.05
2018-01-09,2018-02-01,19.2,19.6
2018-01-10,2018-02-01,19.25,19.3
2018-01-11,2018-02-01,19.425,19.3
2018-01-12,2018-02-01,19.55,19.8
2018-01-15,2018-02-01,19.4,19.115
2018-01-16,2018-02-01,19.18,18.9
2018-01-17,2018-02-01,18.85,18.45
2018-01-18,2018-02-01,18.075,18.37
2018-01-19,2018-02-01,18.325,18.275
2018-01-22,2018-02-01,18.175,18.505
2018-01-23,2018-02-01,18.65,18.25
2018-01-24,2018-02-01,18.1,17.8
2018-01-25,2018-02-01,17.675,17.875
2018-01-26,2018-02-01,18.1,17.725
2018-01-29,2018-02-01,17.975,17.35
2018-01-30,2018-02-01,17.425,17.475
2018-01-31,2018-03-01,17.625,17.875
2018-02-01,2018-03-01,18.5,18.1
2018-02-02,2018-03-01,18.25,18.125
2018-02-05,2018-03-01,18.05,17.575
2018-02-06,2018-03-01,17.35,18.0
2018-02-07,2018-03-01,18.15,18.05
2018-02-08,2018-03-01,18.15,17.775
2018-02-09,2018-03-01,17.825,17.95
2018-02-12,2018-03-01,17.65,18.0
2018-02-13,2018-03-01,18.25,18.225
2018-02-14,2018-03-01,18.05,18.0
2018-02-15,2018-03-01,18.0,17.8
2018-02-16,2018-03-01,18.09,18.3
2018-02-19,2018-03-01,18.95,19.075
2018-02-20,2018-03-01,19.5,19.775
2018-02-21,2018-03-01,19.8,19.575
2018-02-22,2018-03-01,19.675,19.875
2018-02-23,2018-03-01,20.1,20.45
2018-02-26,2018-03-01,19.6,18.625
2018-02-27,2018-03-01,18.85,19.15
2018-02-28,2018-04-01,17.65,17.3
2018-03-01,2018-04-01,17.4,17.575
2018-03-02,2018-04-01,17.255,17.76
2018-03-05,2018-04-01,17.25,17.525
2018-03-06,2018-04-01,17.3,17.66
2018-03-07,2018-04-01,17.4,17.775
2018-03-08,2018-04-01,17.8,18.45
2018-03-09,2018-04-01,18.6,19.0
2018-03-12,2018-04-01,20.05,19.57
2018-03-13,2018-04-01,19.9,19.3
2018-03-14,2018-04-01,19.005,18.6
2018-03-15,2018-04-01,18.65,18.83
2018-03-16,2018-04-01,18.75,18.7
2018-03-19,2018-04-01,19.0,18.75
2018-03-20,2018-04-01,18.9,19.275
2018-03-21,2018-04-01,19.4,19.4
2018-03-22,2018-04-01,19.2,18.74
2018-03-23,2018-04-01,18.65,18.475
2018-03-26,2018-04-01,18.25,18.09
2018-03-27,2018-04-01,17.87,18.45
2018-03-28,2018-04-01,18.4,18.35
2018-04-03,2018-05-01,18.05,18.05
2018-04-04,2018-05-01,18.15,18.175
2018-04-05,2018-05-01,18.105,18.125
2018-04-06,2018-05-01,17.96,18.19
2018-04-09,2018-05-01,18.0,18.65
2018-04-10,2018-05-01,18.75,18.81
2018-04-11,2018-05-01,18.8,19.2
2018-04-12,2018-05-01,19.225,19.275
2018-04-13,2018-05-01,19.325,19.55
2018-04-16,2018-05-01,19.5,19.2
2018-04-17,2018-05-01,19.05,19.05
2018-04-18,2018-05-01,19.075,19.35
2018-04-19,2018-05-01,19.6,19.9
2018-04-20,2018-05-01,19.85,19.825
2018-04-23,2018-05-01,19.7,19.85
2018-04-24,2018-05-01,20.0,19.675
2018-04-25,2018-05-01,19.6,19.925
2018-04-26,2018-05-01,19.975,20.05
2018-04-27,2018-05-01,20.02,20.25
2018-04-30,2018-06-01,20.25,20.47
2018-05-01,2018-06-01,20.325,20.075
2018-05-02,2018-06-01,20.225,19.95
2018-05-03,2018-06-01,20.05,20.06
2018-05-04,2018-06-01,19.95,20.47
2018-05-07,2018-06-01,20.475,20.65
2018-05-08,2018-06-01,20.6,20.76
2018-05-09,2018-06-01,21.0,20.9
2018-05-10,2018-06-01,21.025,21.125
2018-05-11,2018-06-01,21.0,21.325
2018-05-14,2018-06-01,21.225,21.675
2018-05-15,2018-06-01,21.555,21.35
2018-05-16,2018-06-01,21.325,21.725
2018-05-17,2018-06-01,21.9,22.275
2018-05-18,2018-06-01,22.14,22.1
2018-05-21,2018-06-01,21.9,22.425
2018-05-22,2018-06-01,22.775,22.875
2018-05-23,2018-06-01,22.625,22.75
